index,time,red1,red2,red3,red4,red5,blue1,blue2,hit1,hit2,hit3,hit4,hit5,hit6,hit7,hit8,hit9
7001, 2007-05-30,22,24,29,31,35,4,11,2,8,9,50,682,2847,39943,443014,0
7002, 2007-06-02,15,22,31,34,35,5,12,1,3,2,31,662,2455,35975,416206,0
7003, 2007-06-04,3,4,18,23,32,1,6,1,2,17,63,925,4144,49036,493402,0
7004, 2007-06-06,6,10,16,17,25,2,4,0,23,39,38,2241,5999,62109,539808,0
7005, 2007-06-09,1,9,19,20,30,2,11,0,15,95,57,1726,8808,49040,523792,0
7006, 2007-06-11,1,16,20,23,28,3,6,1,3,13,42,814,2574,37244,439466,0
7007, 2007-06-13,14,16,25,26,35,4,9,0,6,4,94,993,4735,71918,687581,0
7008, 2007-06-16,2,8,11,21,23,4,7,0,8,24,94,2581,6323,83124,719750,0
7009, 2007-06-18,1,3,9,19,34,9,12,0,7,9,39,861,3346,39342,424771,0
7010, 2007-06-20,6,8,18,29,34,9,11,0,4,13,43,981,3560,42145,445114,0
7011, 2007-06-23,29,32,33,34,35,9,10,0,3,11,48,750,2863,37665,462311,0
7012, 2007-06-25,3,12,15,29,34,7,11,1,7,8,38,760,3015,37969,432786,0
7013, 2007-06-27,12,17,27,29,34,6,9,0,12,18,38,915,3236,41931,461394,0
7014, 2007-06-30,1,2,7,29,32,6,7,0,6,15,39,942,3913,50273,570251,0
7015, 2007-07-02,2,8,12,13,17,11,12,1,8,19,66,1015,3958,44714,476052,0
7016, 2007-07-04,1,14,19,24,31,3,12,0,6,16,47,1063,3824,45459,504897,0
7017, 2007-07-07,13,14,29,32,34,3,12,1,4,15,36,1095,3836,41422,446256,0
7018, 2007-07-09,3,4,16,23,28,6,9,0,13,30,105,1780,8087,69320,619502,0
7019, 2007-07-11,3,6,17,22,23,4,6,0,10,14,55,1274,4309,55485,570600,0
7020, 2007-07-14,2,6,11,12,18,5,12,1,7,26,83,1708,6018,72996,743175,0
7021, 2007-07-16,2,4,24,29,33,1,2,0,3,6,28,814,3060,40785,484727,0
7022, 2007-07-18,8,10,12,23,25,3,10,0,5,20,72,1254,5294,68103,677135,0
7023, 2007-07-21,8,10,23,32,34,8,10,1,3,15,45,1087,4287,55814,617624,0
7024, 2007-07-23,6,16,20,25,31,4,9,0,11,29,154,1633,6869,80857,767271,0
7025, 2007-07-25,22,24,26,27,34,2,10,0,2,12,28,819,3328,41672,500202,0
7026, 2007-07-28,5,9,13,33,35,1,8,0,6,24,149,1991,8816,91450,805756,0
7027, 2007-07-30,2,3,10,19,27,6,10,0,10,14,53,1293,4704,55606,598700,0
7028, 2007-08-01,20,26,30,34,35,3,10,0,8,15,24,921,3112,39071,471366,0
7029, 2007-08-04,15,22,25,29,35,9,11,0,5,17,73,1967,5654,84728,843490,0
7030, 2007-08-06,11,14,27,33,35,2,7,0,4,23,77,1023,4783,64244,709995,0
